POS,Nombre,Team,POS,GP,REC,TGTS,YDS,TD,LNG,BIG,FUM,LST,YAC,FD,Season 
303,Eno Benjamin ,ARI,RB,9,6,7,42,0,12,0,0,0,46,4,2021
304,Duke Johnson ,MIA,RB,5,4,5,41,0,20,1,0,0,51,3,2021
305,Chris Herndon ,MIN,TE,16,4,7,40,1,17,0,0,0,31,4,2021
306,Auden Tate ,CIN,WR,7,3,4,39,1,18,0,0,0,21,3,2021
307,Kevin White ,NO,WR,6,1,5,38,0,38,1,0,0,9,1,2021
307,Joshua Kelley ,LAC,RB,10,5,6,38,0,17,0,0,0,31,1,2021
307,Scotty Miller ,TB,WR,9,5,9,38,0,13,0,0,0,9,2,2021
310,Kendall Blanton ,LAR,TE,11,4,7,37,0,23,1,1,0,13,2,2021
311,Kenny Yeboah ,NYJ,TE,9,2,3,36,0,24,1,0,0,3,2,2021
311,Noah Gray ,KC,TE,16,7,10,36,1,8,0,0,0,18,2,2021
311,D.J. Montgomery ,NYJ,WR,3,3,6,36,0,14,0,0,0,15,2,2021
