POS,Nombre,Team,POS,GP,ATT,YDS,LNG,BIG,TD,FUM,LST,FD
223,George Pickens ,PIT,WR,17,3,24,22,1,1,0,0,2
223,Skyy Moore ,KC,WR,16,3,24,12,0,0,0,0,1
228,KJ Hamler ,DEN,WR,7,2,23,14,0,0,0,0,1
228,Brandon Aiyuk ,SF,WR,17,2,23,16,0,0,0,0,1
230,Derek Watt ,PIT,FB,17,9,21,4,0,1,0,0,8
230,Skylar Thompson ,MIA,QB,7,14,21,9,0,0,1,1,1
230,Ronnie Rivers ,LAR,RB,8,9,21,5,0,0,0,0,1
233,Ameer Abdullah ,LV,RB,17,4,20,7,0,0,0,0,2
233,Ty Chandler ,MIN,RB,3,6,20,10,0,0,0,0,1
235,Larry Rountree III,LAC,RB,4,13,19,5,0,0,0,0,0
235,Trey Sermon ,PHI,RB,2,2,19,14,0,0,0,0,2
237,Mike Davis ,BAL,RB,8,8,18,10,0,0,1,0,1
237,Zay Jones ,JAX,WR,16,4,18,14,0,0,0,0,1
239,D'Ernest Johnson ,CLE,RB,15,4,17,7,0,0,0,0,1
239,KaVontae Turpin ,DAL,WR,17,3,17,11,0,0,0,0,1
239,Ben Skowronek ,LAR,WR,14,1,17,17,0,1,0,0,1
242,Jameis Winston ,NO,QB,3,5,16,6,0,0,2,0,0
242,Patrick Ricard ,BAL,FB,17,7,16,5,0,0,0,0,5
242,Tyquan Thornton ,NE,WR,13,3,16,19,0,1,0,0,1
245,Trent Taylor ,CIN,WR,16,4,15,9,0,0,0,0,0
245,Pharoh Cooper ,ARI,WR,5,4,15,6,0,0,0,0,0
245,Dyami Brown ,WSH,WR,15,1,15,15,0,0,0,0,1
248,Kene Nwangwu ,MIN,RB,17,9,14,8,0,0,0,0,1
249,Evan Engram ,JAX,TE,17,2,13,13,0,0,0,0,1
249,Kyle Allen ,HOU,QB,2,6,13,5,0,0,2,1,2
249,Kendall Hinton ,DEN,WR,12,2,13,13,0,0,0,0,1
249,Brock Purdy ,SF,QB,9,22,13,13,0,1,0,0,5
253,Julius Chestnut ,TEN,RB,6,9,12,5,0,0,0,0,1
253,Jerome Ford ,CLE,RB,13,8,12,9,0,0,0,0,1
255,Christian Kirk ,JAX,WR,17,5,11,5,0,0,0,0,0
255,Trenton Irwin ,CIN,WR,9,1,11,11,0,0,0,0,1
255,Romeo Doubs ,GB,WR,13,1,11,11,0,0,0,0,1
258,Dee Eskridge ,SEA,WR,10,2,10,6,0,0,0,0,0
259,Matthew Stafford ,LAR,QB,9,13,9,4,0,1,2,0,3
259,Mike White ,NYJ,QB,4,6,9,4,0,1,0,0,3
259,Adam Prentice ,NO,FB,11,4,9,3,0,0,0,0,3
259,J.J. Taylor ,NE,RB,1,10,9,5,0,0,0,0,0
259,Cole Kmet ,CHI,TE,17,2,9,8,0,0,0,0,1
259,Danny Gray ,SF,WR,13,1,9,9,0,0,0,0,0
265,Nick Foles ,IND,QB,3,2,8,8,0,0,0,0,0
265,Keenan Allen ,LAC,WR,10,1,8,8,0,0,0,0,1
265,Trevor Siemian ,CHI,QB,2,4,8,6,0,0,0,0,1
265,Nick Mullens ,MIN,QB,4,4,8,4,0,0,0,0,1
265,Mark Andrews ,BAL,TE,15,3,8,4,0,0,0,0,3
