POS,Nombre,Team,POS,GP,REC,TGTS,YDS,AVG,TD,LNG,BIG,YDS/G,FUM,LST,YAC,FD
376,Robert Foster,WSH,WR,4,2,6,37,18.5,0,28,1,9.3,0,0,32,2
377,Deon Yelder,KC,TE,14,7,11,36,5.1,0,12,0,2.6,0,0,33,2
377,Charlie Woerner,SF,TE,14,3,4,36,12,0,18,0,2.6,0,0,26,2
379,Cam Newton,NE,QB,15,2,2,35,17.5,1,19,0,2.3,0,0,19,2
379,Lee Smith,BUF,TE,10,4,6,35,8.8,2,27,1,3.5,0,0,22,3
379,Jakob Johnson,NE,FB,16,8,9,35,4.4,1,12,0,2.2,1,0,23,3
379,Lawrence Cager,NYJ,TE,2,2,6,35,17.5,0,19,0,17.5,0,0,12,2
379,Kahale Warring,HOU,TE,7,3,7,35,11.7,0,23,1,5,0,0,8,2
379,Brandon Zylstra,CAR,WR,16,3,4,35,11.7,0,28,1,2.2,0,0,16,3
385,Andre Roberts,BUF,WR,15,4,5,34,8.5,0,16,0,2.3,0,0,4,2
385,Tevin Coleman,SF,RB,8,4,5,34,8.5,0,18,0,4.3,0,0,22,2
385,Ke'Shawn Vaughn,TB,RB,10,5,10,34,6.8,1,13,0,3.4,1,1,24,2
388,JaMycal Hasty,SF,RB,8,7,8,33,4.7,0,16,0,4.1,0,0,47,0
388,Nick Westbrook-Ikhine,TEN,WR,14,3,8,33,11,0,19,0,2.4,0,0,5,3
390,Terry Godwin,JAX,WR,3,3,6,32,10.7,0,21,1,10.7,0,0,3,2
391,Seth Roberts,CAR,WR,7,4,6,31,7.8,0,12,0,4.4,0,0,21,2
391,Daniel Brown,NYJ,TE,16,2,2,31,15.5,0,18,0,1.9,0,0,21,2
393,DeAndre Washington,KC/MIA,RB,4,5,10,30,6,0,10,0,7.5,0,0,23,2
393,Marlon Mack,IND,RB,1,3,3,30,10,0,19,0,30,0,0,29,1
393,Trayveon Williams,CIN,RB,10,5,5,30,6,0,13,0,3,0,0,41,1
396,Isaiah Zuber,NE,WR,4,2,2,29,14.5,0,16,0,7.3,0,0,29,1
396,Josh Adams,NYJ,RB,8,6,8,29,4.8,0,11,0,3.6,0,0,24,2
398,Michael Burton,NO,FB,15,4,4,28,7,0,12,0,1.9,0,0,22,1
398,Phillip Lindsay,DEN,RB,11,7,14,28,4,0,11,0,2.5,0,0,37,1
400,Ty Montgomery II,NO,WR,6,3,6,27,9,0,17,0,4.5,0,0,33,1
400,Austin Carr,NO,WR,6,3,4,27,9,1,11,0,4.5,0,0,11,3
400,Austin Walter,SF,RB,4,1,1,27,27,0,27,1,6.8,0,0,33,1
400,Darrynton Evans,TEN,RB,5,2,4,27,13.5,1,24,1,5.4,0,0,29,2
404,Diontae Spencer,DEN,WR,11,3,6,26,8.7,0,10,0,2.4,0,0,13,1
404,Ezekiel Turner,ARI,LB,16,1,1,26,26,0,26,1,1.6,0,0,14,1
404,Dominique Dafney,GB,TE,5,2,2,26,13,1,13,0,5.2,0,0,10,2
407,Corey Clement,PHI,RB,15,5,6,25,5,0,12,0,1.7,0,0,31,2
407,Jaeden Graham,ATL,TE,16,3,5,25,8.3,0,11,0,1.6,0,0,15,1
407,Gabe Nabers,LAC,FB,16,5,7,25,5,2,9,0,1.6,0,0,23,2
410,Daurice Fountain,IND,WR,5,2,3,23,11.5,0,12,0,4.6,0,0,0,2
411,T.J. Yeldon,BUF,RB,3,1,4,22,22,1,22,1,7.3,0,0,0,1
411,Jake Kumerow,BUF,WR,6,1,1,22,22,1,22,1,3.7,0,0,0,1
413,Jonathan Williams,DET,RB,5,4,4,21,5.3,0,10,0,4.2,0,0,22,2
