POS,Nombre,Team,POS,GP,REC,TGTS,YDS,TD,LNG,BIG,FUM,LST,YAC,FD
167,Royce Freeman ,DEN,RB,16,43,50,256,1,19,0,0,0,268,10
168,Greg Ward ,PHI,WR,7,28,40,254,1,38,1,0,0,105,18
168,Isaiah McKenzie ,BUF,WR,15,27,39,254,1,46,3,0,0,207,12
168,Keke Coutee ,HOU,WR,9,22,36,254,0,51,4,1,1,137,10
171,Jamaal Williams ,GB,RB,14,39,45,253,5,17,0,0,0,282,16
172,James Conner ,PIT,RB,10,34,38,251,3,26,4,0,0,297,14
173,Mark Ingram II,BAL,RB,15,26,29,247,5,25,3,0,0,230,16
174,Paul Richardson Jr.,WSH,WR,10,28,42,245,2,22,1,0,0,54,13
174,Malik Turner ,SEA,WR,15,15,22,245,1,33,6,0,0,102,10
176,Isaiah Ford ,MIA,WR,8,23,35,244,0,28,2,0,0,86,16
177,Pharoh Cooper ,ARI/CIN,WR,12,25,33,243,1,28,4,0,0,77,10
178,C.J. Uzomah ,CIN,TE,16,27,40,242,2,36,2,0,0,131,12
179,Jeremy Sprinkle ,WSH,TE,16,26,40,241,1,23,2,1,0,102,13
180,Kyle Juszczyk ,SF,FB,12,20,24,239,1,49,4,0,0,159,11
181,Charles Clay ,ARI,TE,15,18,24,237,1,47,4,0,0,95,12
182,Latavius Murray ,NO,RB,16,34,43,235,1,30,1,0,0,289,9
183,Giovani Bernard ,CIN,RB,16,30,43,234,0,35,2,2,1,220,7
183,Taysom Hill ,NO,QB,16,19,22,234,6,45,5,0,0,152,14
183,Tre'Quan Smith ,NO,WR,11,18,25,234,5,32,3,0,0,114,17
186,J.D. McKissic ,DET,RB,16,34,42,233,1,26,3,0,0,240,7
187,Ricky Seals-Jones ,CLE,TE,14,14,22,229,4,59,5,1,1,100,10
188,Josh Hill ,NO,TE,16,25,35,226,3,29,4,0,0,161,13
189,Vyncint Smith ,NYJ,WR,13,17,31,225,0,37,4,0,0,107,11
190,Jaron Brown ,SEA,WR,14,16,28,220,2,48,3,1,1,64,10
191,Jake Kumerow ,GB,WR,14,12,21,219,1,49,3,0,0,92,8
192,Tim Patrick ,DEN,WR,8,16,31,218,0,38,3,0,0,41,14
193,Zay Jones ,BUF/OAK,WR,15,27,45,216,0,23,2,0,0,77,10
194,Delanie Walker ,TEN,TE,7,21,31,215,2,29,1,1,0,73,11
195,Damien Williams ,KC,RB,11,30,37,213,2,32,1,0,0,241,10
196,Todd Gurley II,LAR,RB,15,31,49,207,2,23,3,0,0,194,8
197,Derrick Henry ,TEN,RB,15,18,24,206,2,75,2,0,0,240,4
198,Anthony Firkser ,TEN,TE,15,14,24,204,1,39,5,0,0,74,9
198,Boston Scott ,PHI,RB,11,24,26,204,0,39,2,1,0,277,10
198,Patrick Laird ,MIA,RB,15,23,30,204,0,21,2,0,0,181,13
201,Maxx Williams ,ARI,TE,16,15,19,202,1,28,5,0,0,112,11
202,Damion Ratley ,CLE,WR,13,12,24,200,1,46,4,0,0,53,11
202,Scotty Miller ,TB,WR,10,13,26,200,1,48,3,0,0,38,5
204,Trey Quinn ,WSH,WR,12,26,47,198,1,19,0,1,1,58,10
204,Miles Boykin ,BAL,WR,16,13,22,198,3,50,2,0,0,16,10
206,Phillip Lindsay ,DEN,RB,16,35,48,196,0,36,1,0,0,256,9
207,Justin Hardy ,ATL,WR,16,19,26,195,0,23,2,0,0,84,9
208,Devin Singletary ,BUF,RB,12,29,41,194,2,49,3,0,0,194,5
209,Bennie Fowler ,NYG,WR,8,23,36,193,0,17,0,0,0,26,12
210,Andy Isabella ,ARI,WR,15,9,13,189,1,88,2,0,0,142,4
211,KeeSean Johnson ,ARI,WR,10,21,42,187,1,31,1,1,1,42,10
212,Marquise Goodwin ,SF,WR,9,12,21,186,1,38,3,0,0,38,10
212,Javon Wims ,CHI,WR,16,18,39,186,1,37,1,0,0,42,9
214,David Montgomery ,CHI,RB,16,25,35,185,1,30,2,0,0,169,7
215,Laquon Treadwell ,MIN,WR,13,9,16,184,1,58,3,0,0,60,8
216,LeSean McCoy ,KC,RB,13,28,34,181,1,23,2,1,1,247,6
216,Dontrelle Inman ,IND/LAC,WR,7,12,21,181,0,28,4,0,0,29,9
218,Raheem Mostert ,SF,RB,16,14,22,180,2,39,3,0,0,154,6
218,Tevin Coleman ,SF,RB,14,21,30,180,1,37,2,0,0,204,9
220,Chester Rogers ,IND,WR,12,16,28,179,2,27,2,0,0,71,11
221,Tavon Austin ,DAL,WR,14,13,24,177,1,59,2,0,0,82,8
222,Foster Moreau ,OAK,TE,13,21,25,174,5,23,1,0,0,106,14
223,Ben Watson ,NE,TE,10,17,24,173,0,26,3,0,0,94,9
223,Logan Thomas ,DET,TE,16,16,28,173,1,17,0,0,0,82,10
225,Kalif Raymond ,TEN,WR,8,9,12,170,1,52,3,1,1,19,6
225,Byron Pringle ,KC,WR,16,12,16,170,1,28,3,0,0,63,7
227,J.J. Arcega-Whiteside ,PHI,WR,16,10,22,169,1,30,4,0,0,21,7
228,Rhett Ellison ,NYG,TE,10,18,28,167,1,31,3,0,0,85,4
228,Darrel Williams ,KC,RB,12,15,19,167,1,52,2,0,0,188,7
230,Nick Vannett ,PIT/SEA,TE,16,17,22,166,0,18,0,0,0,74,5
230,Duke Williams ,BUF,WR,4,12,19,166,1,41,3,0,0,47,8
230,Josh Jacobs ,OAK,RB,13,20,27,166,0,28,2,0,0,188,8
233,Richie James ,SF,WR,16,6,10,165,1,57,3,0,0,106,5
234,Dion Lewis ,TEN,RB,16,25,32,164,1,24,2,0,0,197,7
234,Jakeem Grant Sr.,MIA,WR,10,19,33,164,0,18,0,0,0,88,9
236,DeAndre Carter ,HOU,WR,16,11,14,162,0,46,4,0,0,57,6
237,DeSean Jackson ,PHI,WR,3,9,10,159,2,53,2,0,0,13,6
237,Justin Watson ,TB,WR,16,15,26,159,2,17,0,0,0,12,10
239,Marcedes Lewis ,GB,TE,16,15,19,156,1,25,2,0,0,86,8
240,James O'Shaughnessy ,JAX,TE,5,14,20,153,2,35,1,0,0,90,7
241,Demetrius Harris ,CLE,TE,15,15,27,149,3,23,2,0,0,66,10
241,Jaeden Graham ,ATL,TE,16,9,10,149,1,53,3,0,0,72,7
241,C.J. Ham ,MIN,FB,16,17,26,149,1,36,3,0,0,124,6
244,Ryquell Armstead ,JAX,RB,16,14,24,144,2,31,2,0,0,112,9
245,Adrian Peterson ,WSH,RB,15,17,23,142,0,22,3,1,1,160,7
245,Jesse James ,DET,TE,16,16,27,142,0,23,1,0,0,65,8
247,Seth DeValve ,JAX,TE,12,12,18,140,0,20,1,0,0,64,7
248,Ian Thomas ,CAR,TE,16,16,30,136,1,19,0,0,0,77,10
249,Keelan Doss ,OAK,WR,8,11,14,133,0,31,1,0,0,58,6
250,Matt LaCosse ,NE,TE,11,13,19,131,1,24,3,0,0,51,6
251,Parris Campbell ,IND,WR,7,18,24,127,1,27,1,2,1,109,6
251,Kerryon Johnson ,DET,RB,8,10,15,127,1,36,3,0,0,122,7
251,Dan Arnold ,ARI/NO,TE,5,8,14,127,2,37,3,0,0,30,6
254,Mack Hollins ,MIA/PHI,WR,16,10,22,125,0,20,1,0,0,40,7
255,T.J. Yeldon ,BUF,RB,6,13,15,124,0,23,1,0,0,122,6
255,Deon Cain ,IND/PIT,WR,13,9,20,124,0,35,3,0,0,24,7
257,Vernon Davis ,WSH,TE,4,10,19,123,1,48,1,0,0,78,4
258,Matt Breida ,SF,RB,13,19,22,120,1,17,0,0,0,131,6
259,Marcell Ateman ,OAK,WR,11,5,10,116,0,36,3,1,1,29,3
260,Peyton Barber ,TB,RB,16,16,24,115,1,16,0,0,0,124,4
260,Braxton Berrios ,NYJ,WR,16,6,13,115,0,69,2,0,0,87,3
260,Olamide Zaccheaus ,ATL,WR,10,3,5,115,1,93,1,0,0,62,2
263,Jeff Heuerman ,DEN,TE,14,14,20,114,1,26,1,0,0,47,9
263,Tommy Sweeney ,BUF,TE,6,8,13,114,0,29,3,0,0,39,4
263,Ryan Izzo ,NE,TE,6,6,9,114,1,41,3,0,0,54,4
266,Devin Smith ,DAL,WR,4,5,9,113,1,51,2,0,0,31,4
267,Brandon Bolden ,NE,RB,15,9,11,111,1,29,2,0,0,60,6
267,Trevor Davis ,OAK/MIA/GB,WR,14,8,11,111,0,28,2,1,1,69,4
269,Nick O'Leary ,MIA/JAX,TE,12,13,18,109,1,19,0,1,0,42,4
269,Dante Pettis ,SF,WR,11,11,24,109,2,21,2,0,0,23,7
269,Ty Johnson ,DET,RB,16,24,31,109,0,13,0,1,1,97,4
272,Derek Carrier ,OAK,TE,16,13,19,108,1,25,2,0,0,50,4
273,Tony Pollard ,DAL,RB,15,15,20,107,1,21,1,0,0,139,4
274,Brandon Zylstra ,CAR,WR,8,8,12,106,0,40,2,0,0,19,5
275,Chase Edmonds ,ARI,RB,13,12,21,105,1,31,1,0,0,106,5
275,N'Keal Harry ,NE,WR,7,12,24,105,2,18,0,0,0,45,7
277,Hale Hentges ,WSH,TE,11,8,14,103,1,24,2,0,0,48,6
278,Wayne Gallman ,NYG,RB,10,11,15,102,1,21,3,0,0,109,4
279,Frank Gore ,BUF,RB,16,13,16,100,0,18,0,0,0,93,5
279,Robert Tonyan ,GB,TE,11,10,15,100,1,28,2,0,0,28,4
281,Danny Vitale ,GB,FB,15,7,12,97,0,27,3,0,0,58,3
282,Sony Michel ,NE,RB,16,12,20,94,0,19,0,0,0,122,7
283,Mo Alie-Cox ,IND,TE,16,8,11,93,0,21,1,0,0,60,5
284,Dontrell Hilliard ,CLE,RB,14,12,15,92,0,19,0,0,0,104,4
285,J.P. Holtz ,CHI/WSH,TE,14,7,8,91,0,30,1,0,0,81,4
285,Ross Dwelley ,SF,TE,16,15,22,91,2,25,1,0,0,40,8
285,Christian Blake ,ATL,WR,9,11,24,91,0,13,0,0,0,23,5
288,MyCole Pruitt ,TEN,TE,16,6,8,90,1,42,2,0,0,68,4
288,Ty Montgomery II,NYJ,WR,16,13,17,90,0,21,1,0,0,95,3
288,Andrew Beck ,DEN,FB,16,9,12,90,1,29,1,0,0,68,6
291,Antonio Callaway ,CLE,WR,4,8,15,89,0,41,1,0,0,45,3
291,Mark Walton ,MIA,RB,7,15,21,89,0,18,0,1,1,111,3
293,Ameer Abdullah ,MIN,RB,16,15,21,88,1,16,0,0,0,82,5
294,Joshua Perkins ,PHI,TE,5,9,13,87,1,24,1,0,0,28,5
294,Ito Smith ,ATL,RB,7,11,14,87,0,10,0,0,0,78,2
294,Jesper Horsted ,CHI,TE,6,8,10,87,1,20,1,0,0,36,4
297,Trey Burton ,CHI,TE,8,14,24,84,0,16,0,0,0,39,5
298,Cordarrelle Patterson ,CHI,RB,16,11,17,83,0,33,1,0,0,74,3
298,Rashaad Penny ,SEA,RB,10,8,11,83,1,30,1,0,0,94,3
300,Marlon Mack ,IND,RB,14,14,17,82,0,14,0,0,0,83,2
300,Alexander Mattison ,MIN,RB,13,10,12,82,0,17,0,0,0,76,3
300,Damion Willis ,CIN,WR,10,9,16,82,0,17,0,0,0,17,3
303,Trent Sherfield Sr.,ARI,WR,16,4,13,80,0,38,2,0,0,13,4
304,Luke Willson ,SEA,TE,8,8,10,79,0,17,0,0,0,39,5
304,Derrius Guice ,WSH,RB,5,7,9,79,1,45,1,0,0,88,2
306,Virgil Green ,LAC,TE,15,9,13,78,1,15,0,0,0,43,4
307,C.J. Prosise ,SEA,RB,9,10,12,76,0,21,1,0,0,66,3
307,KhaDarel Hodge ,CLE,WR,16,4,10,76,0,41,1,0,0,10,3
309,Adam Shaheen ,CHI,TE,8,9,13,74,0,18,0,0,0,38,3
310,Daniel Brown ,NYJ,TE,16,7,11,72,1,24,2,0,0,19,4
311,Tyler Kroft ,BUF,TE,11,6,14,71,1,20,1,0,0,28,5
311,D'Ernest Johnson ,CLE,RB,16,6,7,71,0,27,1,0,0,44,1
313,Chad Beebe ,MIN,WR,3,2,2,70,0,61,1,0,0,67,2
313,Justice Hill ,BAL,RB,16,8,15,70,0,14,0,0,0,82,5
315,Jordan Howard ,PHI,RB,10,10,14,69,1,20,1,0,0,72,3
315,Brian Hill ,ATL,RB,12,10,14,69,1,12,0,0,0,53,4
315,Riley Ridley ,CHI,WR,5,6,7,69,0,32,1,0,0,17,4
318,Chris Hogan ,CAR,WR,7,8,15,67,0,13,0,0,0,32,3
318,Blake Bell ,KC,TE,15,8,15,67,0,30,1,0,0,10,3
320,Rico Gafford ,OAK,CB,4,2,2,66,1,49,1,0,0,18,2
321,Geoff Swaim ,JAX,TE,6,13,17,65,0,9,0,0,0,46,1
321,Durham Smythe ,MIA,TE,16,7,14,65,0,24,1,0,0,18,2
323,Wendell Smallwood ,WSH,RB,15,9,13,64,0,18,0,0,0,53,4
323,Robert Foster ,BUF,WR,13,3,18,64,0,24,3,0,0,32,3
325,Kalen Ballage ,MIA,RB,12,14,24,63,0,13,0,0,0,88,4
326,Tevin Jones ,PIT,WR,5,4,10,61,0,28,1,0,0,12,1
327,Chris Lacy ,DET,WR,7,3,10,60,0,48,1,0,0,9,2
328,Ben Braunecker ,CHI,TE,11,6,11,59,1,18,0,0,0,24,5
328,Jonathan Williams ,IND,RB,9,5,5,59,0,31,1,0,0,65,3
330,Tyler Conklin ,MIN,TE,15,8,10,58,0,20,1,0,0,16,2
331,Clive Walford ,MIA,TE,7,4,8,57,0,19,0,0,0,26,4
331,Reggie Bonnafon ,CAR,RB,16,6,9,57,0,32,1,0,0,50,1
331,Devontae Booker ,DEN,RB,16,6,9,57,0,25,1,0,0,41,1
334,Antonio Brown ,NE,WR,1,4,8,56,1,20,1,0,0,7,3
334,Andre Patton ,LAC,WR,13,6,17,56,0,15,0,0,0,28,4
334,Travis Homer ,SEA,RB,16,11,13,56,0,11,0,0,0,63,3
337,Rashard Higgins ,CLE,WR,10,4,11,55,1,35,1,0,0,10,3
338,Khari Blasingame ,TEN,FB,6,4,5,54,0,24,2,0,0,36,2
